[2024-11-22 01:33:17,755: INFO: data_ingestion: Download data from https://drive.google.com/file/d/1_ikKoonQOS56n_hS_j5WBYY9XfYA4YeI/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-11-22 01:33:23,297: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<< 

x==============x]
[2024-11-22 01:33:23,298: INFO: main: *****************]
[2024-11-22 01:33:23,298: INFO: main: >>>>>>>>> stage Prepare base model started <<<<<<<<<<<]
[2024-11-22 01:33:23,300: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 01:33:23,301: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 01:33:23,301: INFO: common: created directory at: artifacts]
[2024-11-22 01:33:23,302: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-22 01:33:23,670: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-22 01:33:23,851: INFO: main: >>>>>>>>>> stage Prepare base model completed <<<<<<

x============x]
[2024-11-22 01:33:23,852: INFO: main: *****************]
[2024-11-22 01:33:23,852: INFO: main: >>>>>>> stage Training started <<<<<<<<<]
[2024-11-22 01:33:23,854: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 01:33:23,855: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 01:33:23,855: INFO: common: created directory at: artifacts]
[2024-11-22 01:33:23,855: INFO: common: created directory at: artifacts\training]
[2024-11-22 01:40:13,720: INFO: main: >>>>>>>> stage Training completed <<<<<<<<

x=========x]
[2024-11-22 13:17:42,171: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 13:17:42,175: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 13:20:30,970: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 13:20:30,972: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 13:22:48,567: INFO: builder_impl: Assets written to: C:\Users\vamsi7\AppData\Local\Temp\tmp742t70a8\model\data\model\assets]
[2024-11-22 13:30:37,362: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 13:30:37,364: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 13:32:40,340: INFO: common: json file saved at: scores.json]
[2024-11-22 13:32:41,691: INFO: builder_impl: Assets written to: C:\Users\vamsi7\AppData\Local\Temp\tmpkn1matub\model\data\model\assets]
[2024-11-22 14:41:45,361: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 14:41:45,363: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 14:43:51,497: INFO: common: json file saved at: scores.json]
[2024-11-22 14:43:54,427: INFO: builder_impl: Assets written to: C:\Users\vamsi7\AppData\Local\Temp\tmp0k47emj4\model\data\model\assets]
[2024-11-22 15:27:15,510: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-22 15:27:15,514: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-22 15:29:26,125: INFO: common: json file saved at: scores.json]
[2024-11-22 15:29:28,529: INFO: builder_impl: Assets written to: C:\Users\vamsi7\AppData\Local\Temp\tmphntzrjkc\model\data\model\assets]
